iter	Passed	Remaining
0	39	39135
1	48	24048
2	57	19104
3	68	16964
4	77	15509
5	87	14472
6	97	13784
7	106	13146
8	115	12675
9	124	12292
10	134	12114
11	143	11854
12	153	11628
13	162	11472
14	172	11328
15	181	11173
16	191	11047
17	200	10962
18	211	10895
19	220	10819
20	228	10672
21	237	10541
22	246	10470
23	255	10374
24	263	10290
25	272	10213
26	287	10378
27	298	10357
28	309	10362
29	320	10349
30	330	10333
31	341	10318
32	351	10305
33	362	10305
34	376	10390
35	397	10656
36	411	10699
37	424	10734
38	436	10758
39	447	10739
40	457	10707
41	468	10689
42	478	10642
43	490	10654
44	501	10652
45	511	10614
46	521	10583
47	531	10542
48	541	10516
49	552	10490
50	561	10456
51	572	10439
52	582	10412
53	592	10381
54	603	10362
55	613	10348
56	624	10325
57	634	10311
58	645	10291
59	655	10265
60	665	10248
61	675	10215
62	685	10189
63	695	10169
64	705	10143
65	716	10139
66	726	10111
67	735	10082
68	744	10051
69	754	10021
70	764	9997
71	775	9989
72	792	10067
73	804	10067
74	816	10076
75	828	10069
76	839	10061
77	846	10009
78	858	10006
79	869	9995
80	880	9985
81	891	9985
82	904	9987
83	917	10001
84	930	10013
85	940	9991
86	950	9979
87	963	9984
88	974	9970
89	986	9978
90	997	9966
91	1008	9951
92	1049	10236
93	1105	10656
94	1152	10981
95	1209	11384
96	1228	11437
97	1241	11430
98	1252	11403
99	1264	11382
100	1279	11389
101	1291	11372
102	1302	11345
103	1315	11334
104	1323	11282
105	1335	11265
106	1350	11266
107	1365	11274
108	1378	11264
109	1391	11258
110	1405	11255
111	1420	11263
112	1443	11327
113	1465	11392
114	1491	11479
115	1506	11480
116	1536	11592
117	1595	11924
118	1627	12051
119	1657	12155
120	1666	12105
121	1688	12154
122	1708	12184
123	1730	12227
124	1751	12262
125	1772	12291
126	1789	12304
127	1810	12336
128	1825	12324
129	1838	12306
130	1848	12260
131	1859	12225
132	1878	12243
133	1895	12248
134	1908	12229
135	1924	12227
136	1942	12234
137	1959	12242
138	1980	12265
139	2012	12359
140	2039	12423
141	2055	12417
142	2069	12400
143	2081	12372
144	2094	12350
145	2109	12336
146	2123	12321
147	2138	12308
148	2152	12291
149	2167	12284
150	2183	12274
151	2198	12263
152	2263	12533
153	2362	12980
154	2385	13006
155	2399	12982
156	2415	12971
157	2431	12955
158	2445	12932
159	2460	12918
160	2469	12868
161	2482	12839
162	2495	12816
163	2508	12786
164	2520	12754
165	2534	12734
166	2551	12727
167	2564	12699
168	2578	12680
169	2586	12627
170	2598	12596
171	2607	12551
172	2615	12504
173	2631	12491
174	2644	12467
175	2659	12451
176	2668	12408
177	2679	12371
178	2687	12325
179	2695	12277
180	2707	12250
181	2714	12200
182	2722	12156
183	2732	12116
184	2743	12085
185	2754	12056
186	2764	12018
187	2775	11986
188	2782	11938
189	2789	11893
190	2799	11857
191	2809	11822
192	2821	11796
193	2833	11773
194	2843	11738
195	2854	11709
196	2863	11673
197	2873	11638
198	2882	11604
199	2893	11574
200	2905	11548
201	2916	11520
202	2927	11493
203	2939	11468
204	2950	11442
205	2959	11407
206	2972	11385
207	2980	11350
208	2992	11326
209	3004	11301
210	3015	11276
211	3024	11241
212	3035	11216
213	3047	11194
214	3058	11167
215	3068	11136
216	3080	11115
217	3090	11085
218	3102	11065
219	3109	11025
220	3117	10989
221	3124	10951
222	3132	10913
223	3140	10877
224	3147	10840
225	3154	10803
226	3162	10768
227	3169	10731
228	3176	10695
229	3183	10658
230	3190	10622
231	3198	10587
232	3205	10553
233	3218	10536
234	3229	10514
235	3241	10495
236	3250	10464
237	3259	10436
238	3268	10407
239	3277	10378
240	3286	10350
241	3296	10324
242	3308	10307
243	3318	10280
244	3327	10253
245	3336	10225
246	3344	10197
247	3355	10174
248	3380	10196
249	3413	10240
250	3459	10322
251	3519	10446
252	3544	10464
253	3552	10433
254	3560	10403
255	3569	10373
256	3577	10343
257	3586	10313
258	3594	10284
259	3608	10269
260	3616	10240
261	3627	10219
262	3639	10199
263	3654	10188
264	3664	10164
265	3674	10138
266	3683	10112
267	3693	10087
268	3703	10064
269	3712	10036
270	3721	10009
271	3731	9986
272	3740	9959
273	3749	9935
274	3758	9909
275	3767	9883
276	3776	9858
277	3786	9833
278	3796	9810
279	3803	9780
280	3810	9750
281	3818	9721
282	3827	9697
283	3836	9673
284	3844	9645
285	3852	9617
286	3861	9594
287	3869	9566
288	3880	9546
289	3890	9524
290	3900	9502
291	3910	9480
292	3917	9453
293	3925	9425
294	3933	9399
295	3940	9371
296	3947	9344
297	3957	9322
298	3964	9294
299	3976	9278
300	3991	9269
301	4000	9246
302	4008	9221
303	4017	9197
304	4025	9172
305	4034	9149
306	4043	9127
307	4052	9105
308	4061	9081
309	4069	9058
310	4078	9035
311	4087	9012
312	4096	8990
313	4105	8969
314	4114	8948
315	4124	8927
316	4133	8906
317	4141	8881
318	4149	8857
319	4156	8832
320	4163	8807
321	4171	8783
322	4179	8761
323	4187	8736
324	4196	8714
325	4203	8689
326	4210	8666
327	4218	8642
328	4225	8617
329	4232	8592
330	4239	8567
331	4246	8543
332	4253	8519
333	4260	8495
334	4267	8471
335	4274	8447
336	4281	8424
337	4289	8401
338	4296	8377
339	4304	8356
340	4312	8335
341	4320	8311
342	4326	8287
343	4333	8264
